time;date;cpu_use;ram_total;ram_used;ram_free;disk_total;disk_free;disk_perc;
20:40:56;11/May/2020;28.2;948.3;213.1;465.6;30G;3.7G;13%;
20:40:56;11/May/2020;24.7;948.3;214.2;464.5;30G;3.7G;13%;
20:40:57;11/May/2020;27.8;948.3;214.4;464.2;30G;3.7G;13%;
20:40:57;11/May/2020;29.3;948.3;212.0;466.6;30G;3.7G;13%;
20:40:57;11/May/2020;41.3;948.3;217.0;461.6;30G;3.7G;13%;
20:40:58;11/May/2020;34.2;948.3;222.7;453.5;30G;3.7G;13%;
20:40:58;11/May/2020;26.3;948.3;223.2;452.9;30G;3.7G;13%;
20:40:58;11/May/2020;31.1;948.3;223.5;452.7;30G;3.7G;13%;
20:40:59;11/May/2020;28.0;948.3;223.5;452.6;30G;3.7G;13%;
20:40:59;11/May/2020;27.6;948.3;223.7;452.4;30G;3.7G;13%;
20:41:00;11/May/2020;30.3;948.3;224.1;452.0;30G;3.7G;13%;
20:41:00;11/May/2020;28.0;948.3;224.5;451.6;30G;3.7G;13%;
20:41:00;11/May/2020;25.3;948.3;224.2;451.9;30G;3.7G;13%;
20:41:01;11/May/2020;28.0;948.3;224.3;451.8;30G;3.7G;13%;
20:41:01;11/May/2020;24.0;948.3;218.2;457.9;30G;3.7G;13%;
20:41:01;11/May/2020;51.3;948.3;234.8;441.3;30G;3.7G;13%;
20:41:02;11/May/2020;28.0;948.3;232.9;443.2;30G;3.7G;13%;
20:41:02;11/May/2020;28.0;948.3;232.4;443.7;30G;3.7G;13%;
20:41:02;11/May/2020;26.7;948.3;232.9;443.2;30G;3.7G;13%;
20:41:03;11/May/2020;25.3;948.3;233.0;443.0;30G;3.7G;13%;
20:41:03;11/May/2020;25.3;948.3;232.9;443.2;30G;3.7G;13%;
20:41:03;11/May/2020;34.2;948.3;233.8;442.3;30G;3.7G;13%;
20:41:04;11/May/2020;26.0;948.3;233.6;442.5;30G;3.7G;13%;
20:41:04;11/May/2020;27.4;948.3;234.1;442.0;30G;3.7G;13%;
20:41:05;11/May/2020;31.1;948.3;227.6;448.4;30G;3.7G;13%;
20:41:05;11/May/2020;57.5;948.3;252.4;418.8;30G;3.7G;13%;
20:41:05;11/May/2020;94.0;948.3;251.1;420.1;30G;3.7G;13%;
20:41:06;11/May/2020;62.9;948.3;247.2;423.7;30G;3.7G;13%;
20:41:06;11/May/2020;50.6;948.3;247.9;423.0;30G;3.7G;13%;
20:41:07;11/May/2020;52.5;948.3;247.5;423.4;30G;3.7G;13%;
20:41:07;11/May/2020;40.3;948.3;247.8;423.1;30G;3.7G;13%;
20:41:07;11/May/2020;28.0;948.3;247.8;423.2;30G;3.7G;13%;
20:41:08;11/May/2020;31.6;948.3;248.8;422.1;30G;3.7G;13%;
20:41:08;11/May/2020;26.7;948.3;249.0;421.9;30G;3.7G;13%;
20:41:08;11/May/2020;27.6;948.3;249.0;421.9;30G;3.7G;13%;
20:41:09;11/May/2020;28.0;948.3;242.8;428.1;30G;3.7G;13%;
20:41:09;11/May/2020;88.6;948.3;253.5;417.4;30G;3.7G;13%;
20:41:09;11/May/2020;90.9;948.3;260.3;410.6;30G;3.7G;13%;
20:41:10;11/May/2020;49.3;948.3;257.8;413.1;30G;3.7G;13%;
20:41:10;11/May/2020;54.4;948.3;257.4;413.4;30G;3.7G;13%;
20:41:11;11/May/2020;52.6;948.3;257.7;413.1;30G;3.7G;13%;
20:41:11;11/May/2020;35.1;948.3;258.0;412.8;30G;3.7G;13%;
20:41:11;11/May/2020;24.7;948.3;258.0;412.8;30G;3.7G;13%;
20:41:12;11/May/2020;29.3;948.3;258.3;412.5;30G;3.7G;13%;
20:41:12;11/May/2020;27.0;948.3;258.8;412.0;30G;3.7G;13%;
20:41:12;11/May/2020;29.5;948.3;258.8;412.0;30G;3.7G;13%;
20:41:13;11/May/2020;26.7;948.3;255.0;415.8;30G;3.7G;13%;
20:41:13;11/May/2020;86.4;948.3;261.0;409.8;30G;3.7G;13%;
20:41:14;11/May/2020;92.7;948.3;262.0;408.8;30G;3.7G;13%;
20:41:14;11/May/2020;93.2;948.3;264.3;406.5;30G;3.7G;13%;
20:41:14;11/May/2020;88.6;948.3;263.5;407.3;30G;3.7G;13%;
20:41:15;11/May/2020;92.0;948.3;263.0;407.8;30G;3.7G;13%;
20:41:15;11/May/2020;94.6;948.3;262.8;408.0;30G;3.7G;13%;
20:41:16;11/May/2020;92.0;948.3;264.1;406.7;30G;3.7G;13%;
20:41:16;11/May/2020;91.7;948.3;265.8;405.0;30G;3.7G;13%;
20:41:17;11/May/2020;91.7;948.3;265.2;405.5;30G;3.7G;13%;
20:41:17;11/May/2020;91.3;948.3;267.5;403.3;30G;3.7G;13%;
20:41:18;11/May/2020;88.6;948.3;270.2;400.6;30G;3.7G;13%;
20:41:18;11/May/2020;93.2;948.3;270.9;399.9;30G;3.7G;13%;
20:41:18;11/May/2020;90.9;948.3;271.2;399.5;30G;3.7G;13%;
20:41:19;11/May/2020;92.4;948.3;270.9;399.8;30G;3.7G;13%;
20:41:19;11/May/2020;90.1;948.3;271.8;399.0;30G;3.7G;13%;
20:41:20;11/May/2020;26.4;948.3;271.0;399.8;30G;3.7G;13%;
20:41:20;11/May/2020;29.3;948.3;271.3;399.4;30G;3.7G;13%;
20:41:20;11/May/2020;31.2;948.3;271.0;399.7;30G;3.7G;13%;
20:41:21;11/May/2020;29.3;948.3;271.3;399.5;30G;3.7G;13%;
20:41:21;11/May/2020;27.3;948.3;271.3;399.4;30G;3.7G;13%;
20:41:22;11/May/2020;29.5;948.3;271.1;399.7;30G;3.7G;13%;
20:41:22;11/May/2020;29.9;948.3;270.8;399.9;30G;3.7G;13%;
20:41:22;11/May/2020;33.8;948.3;270.6;400.2;30G;3.7G;13%;
20:41:23;11/May/2020;28.4;948.3;271.1;399.6;30G;3.7G;13%;
20:41:23;11/May/2020;26.7;948.3;270.9;399.8;30G;3.7G;13%;
20:41:23;11/May/2020;29.3;948.3;270.9;399.8;30G;3.7G;13%;
20:41:24;11/May/2020;27.3;948.3;271.4;399.3;30G;3.7G;13%;
20:41:24;11/May/2020;27.6;948.3;271.0;399.7;30G;3.7G;13%;
20:41:25;11/May/2020;24.7;948.3;271.1;399.6;30G;3.7G;13%;
20:41:25;11/May/2020;25.7;948.3;271.8;398.9;30G;3.7G;13%;
20:41:25;11/May/2020;26.9;948.3;271.0;399.7;30G;3.7G;13%;
20:41:26;11/May/2020;26.2;948.3;270.7;400.0;30G;3.7G;13%;
20:41:26;11/May/2020;28.9;948.3;271.1;399.6;30G;3.7G;13%;
20:41:26;11/May/2020;70.7;948.3;267.4;403.3;30G;3.7G;13%;
20:41:27;11/May/2020;87.9;948.3;269.3;401.4;30G;3.7G;13%;
20:41:27;11/May/2020;92.3;948.3;269.4;401.3;30G;3.7G;13%;
20:41:28;11/May/2020;94.6;948.3;268.9;401.8;30G;3.7G;13%;
20:41:28;11/May/2020;92.0;948.3;266.6;404.1;30G;3.7G;13%;
20:41:29;11/May/2020;97.6;948.3;272.2;398.5;30G;3.7G;13%;
20:41:29;11/May/2020;94.8;948.3;272.9;397.8;30G;3.7G;13%;
20:41:30;11/May/2020;91.8;948.3;273.1;397.6;30G;3.7G;13%;
20:41:30;11/May/2020;93.0;948.3;274.8;395.9;30G;3.7G;13%;
20:41:30;11/May/2020;93.5;948.3;275.3;395.4;30G;3.7G;13%;
20:41:31;11/May/2020;95.5;948.3;273.3;397.5;30G;3.7G;13%;
20:41:31;11/May/2020;52.6;948.3;272.5;398.3;30G;3.7G;13%;
20:41:32;11/May/2020;26.3;948.3;272.6;398.2;30G;3.7G;13%;
