time;date;cpu_use;ram_total;ram_used;ram_free;disk_total;disk_free;disk_perc;
01:38:37;15/May/2020;2.6;948.3;211.5;428.9;30G;3.7G;14%;
01:38:37;15/May/2020;23.7;948.3;220.2;420.1;30G;3.7G;14%;
01:38:38;15/May/2020;26.9;948.3;232.8;407.4;30G;3.7G;14%;
01:38:38;15/May/2020;30.3;948.3;232.5;407.4;30G;3.7G;14%;
01:38:38;15/May/2020;27.3;948.3;232.4;407.3;30G;3.7G;14%;
01:38:39;15/May/2020;26.0;948.3;232.7;407.0;30G;3.7G;14%;
01:38:39;15/May/2020;31.6;948.3;232.7;406.9;30G;3.7G;14%;
01:38:40;15/May/2020;26.7;948.3;232.6;407.1;30G;3.7G;14%;
01:38:40;15/May/2020;28.0;948.3;234.2;405.5;30G;3.7G;14%;
01:38:40;15/May/2020;27.6;948.3;234.4;405.2;30G;3.7G;14%;
01:38:41;15/May/2020;27.6;948.3;234.2;405.5;30G;3.7G;14%;
01:38:41;15/May/2020;26.3;948.3;227.6;412.0;30G;3.7G;14%;
01:38:41;15/May/2020;35.9;948.3;245.2;392.6;30G;3.7G;14%;
01:38:42;15/May/2020;23.7;948.3;241.8;395.4;30G;3.7G;14%;
01:38:42;15/May/2020;25.3;948.3;242.6;394.6;30G;3.7G;14%;
01:38:42;15/May/2020;28.2;948.3;242.8;394.3;30G;3.7G;14%;
01:38:43;15/May/2020;28.0;948.3;242.9;394.3;30G;3.7G;14%;
01:38:43;15/May/2020;28.9;948.3;243.0;394.2;30G;3.7G;14%;
01:38:44;15/May/2020;26.3;948.3;243.6;393.6;30G;3.7G;14%;
01:38:44;15/May/2020;28.0;948.3;243.9;393.3;30G;3.7G;14%;
01:38:44;15/May/2020;32.0;948.3;244.1;393.1;30G;3.7G;14%;
01:38:45;15/May/2020;25.0;948.3;237.3;399.8;30G;3.7G;14%;
01:38:45;15/May/2020;47.4;948.3;253.9;383.3;30G;3.7G;14%;
01:38:45;15/May/2020;28.9;948.3;252.4;384.7;30G;3.7G;14%;
01:38:46;15/May/2020;27.6;948.3;252.0;385.2;30G;3.7G;14%;
01:38:46;15/May/2020;26.7;948.3;251.7;385.5;30G;3.7G;14%;
01:38:46;15/May/2020;26.9;948.3;251.8;385.3;30G;3.7G;14%;
01:38:47;15/May/2020;27.6;948.3;252.0;385.2;30G;3.7G;14%;
01:38:47;15/May/2020;26.9;948.3;253.7;383.5;30G;3.7G;14%;
01:38:47;15/May/2020;26.9;948.3;253.6;383.5;30G;3.7G;14%;
01:38:48;15/May/2020;26.9;948.3;253.9;383.2;30G;3.7G;14%;
01:38:48;15/May/2020;29.3;948.3;246.5;390.7;30G;3.7G;14%;
01:38:49;15/May/2020;51.9;948.3;263.0;374.2;30G;3.7G;14%;
01:38:49;15/May/2020;25.0;948.3;261.1;376.1;30G;3.7G;14%;
01:38:49;15/May/2020;28.9;948.3;261.2;376.0;30G;3.7G;14%;
01:38:50;15/May/2020;25.0;948.3;261.0;376.2;30G;3.7G;14%;
01:38:50;15/May/2020;25.0;948.3;260.8;376.3;30G;3.7G;14%;
01:38:50;15/May/2020;27.6;948.3;261.1;376.1;30G;3.7G;14%;
01:38:51;15/May/2020;23.4;948.3;261.9;375.2;30G;3.7G;14%;
01:38:51;15/May/2020;25.0;948.3;261.9;375.3;30G;3.7G;14%;
01:38:51;15/May/2020;27.3;948.3;261.6;375.5;30G;3.7G;14%;
01:38:52;15/May/2020;26.3;948.3;255.4;381.7;30G;3.7G;14%;
01:38:52;15/May/2020;61.0;948.3;276.7;355.6;30G;3.7G;14%;
01:38:53;15/May/2020;82.9;948.3;275.3;356.8;30G;3.7G;14%;
01:38:53;15/May/2020;51.8;948.3;275.6;356.4;30G;3.7G;14%;
01:38:53;15/May/2020;43.8;948.3;275.3;356.7;30G;3.7G;14%;
01:38:54;15/May/2020;26.7;948.3;275.3;356.8;30G;3.7G;14%;
01:38:54;15/May/2020;28.0;948.3;275.0;357.0;30G;3.7G;14%;
01:38:54;15/May/2020;26.9;948.3;275.8;356.3;30G;3.7G;14%;
01:38:55;15/May/2020;26.9;948.3;276.5;355.5;30G;3.7G;14%;
01:38:55;15/May/2020;29.9;948.3;276.7;355.3;30G;3.7G;14%;
01:38:56;15/May/2020;25.6;948.3;273.9;358.2;30G;3.7G;14%;
01:38:56;15/May/2020;77.6;948.3;279.7;352.3;30G;3.7G;14%;
01:38:56;15/May/2020;94.8;948.3;282.6;349.5;30G;3.7G;14%;
01:38:57;15/May/2020;96.2;948.3;283.8;348.2;30G;3.7G;14%;
01:38:57;15/May/2020;90.6;948.3;284.4;347.6;30G;3.7G;14%;
01:38:58;15/May/2020;92.4;948.3;285.9;346.1;30G;3.7G;14%;
01:38:58;15/May/2020;92.7;948.3;286.2;345.8;30G;3.7G;14%;
01:38:59;15/May/2020;91.3;948.3;285.9;346.1;30G;3.7G;14%;
01:38:59;15/May/2020;90.6;948.3;286.8;345.1;30G;3.7G;14%;
