time;date;cpu_use;ram_total;ram_used;ram_free;disk_total;disk_free;disk_perc;
17:36:19;16/Jul/2019;4.4;949.0;185.0;589.0;30G;2.1G;8%;
17:36:20;16/Jul/2019;4.4;949.0;185.0;589.0;30G;2.1G;8%;
17:36:20;16/Jul/2019;4.4;949.0;185.0;589.0;30G;2.1G;8%;
17:36:20;16/Jul/2019;4.5;949.0;185.0;589.0;30G;2.1G;8%;
17:36:21;16/Jul/2019;4.5;949.0;185.0;588.0;30G;2.1G;8%;
17:36:21;16/Jul/2019;4.5;949.0;186.0;588.0;30G;2.1G;8%;
17:36:21;16/Jul/2019;4.6;949.0;185.0;588.0;30G;2.1G;8%;
17:36:22;16/Jul/2019;4.6;949.0;188.0;585.0;30G;2.1G;8%;
17:36:22;16/Jul/2019;4.6;949.0;189.0;585.0;30G;2.1G;8%;
17:36:22;16/Jul/2019;4.7;949.0;190.0;584.0;30G;2.1G;8%;
17:36:23;16/Jul/2019;4.7;949.0;190.0;584.0;30G;2.1G;8%;
17:36:23;16/Jul/2019;4.7;949.0;190.0;584.0;30G;2.1G;8%;
17:36:23;16/Jul/2019;4.8;949.0;190.0;584.0;30G;2.1G;8%;
17:36:24;16/Jul/2019;4.8;949.0;190.0;584.0;30G;2.1G;8%;
17:36:24;16/Jul/2019;4.8;949.0;190.0;584.0;30G;2.1G;8%;
17:36:24;16/Jul/2019;4.9;949.0;190.0;584.0;30G;2.1G;8%;
17:36:25;16/Jul/2019;4.9;949.0;190.0;583.0;30G;2.1G;8%;
17:36:25;16/Jul/2019;4.9;949.0;190.0;583.0;30G;2.1G;8%;
17:36:25;16/Jul/2019;4.9;949.0;190.0;583.0;30G;2.1G;8%;
17:36:25;16/Jul/2019;5.0;949.0;190.0;583.0;30G;2.1G;8%;
17:36:26;16/Jul/2019;5.0;949.0;190.0;583.0;30G;2.1G;8%;
17:36:26;16/Jul/2019;5.0;949.0;190.0;583.0;30G;2.1G;8%;
17:36:26;16/Jul/2019;5.1;949.0;191.0;583.0;30G;2.1G;8%;
17:36:27;16/Jul/2019;5.1;949.0;191.0;583.0;30G;2.1G;8%;
17:36:27;16/Jul/2019;5.1;949.0;191.0;582.0;30G;2.1G;8%;
17:36:27;16/Jul/2019;5.2;949.0;191.0;583.0;30G;2.1G;8%;
