time;date;cpu_use;ram_total;ram_used;ram_free;disk_total;disk_free;disk_perc;
23:09:39;18/Oct/2019;26.1;948.3;206.0;34.2;30G;2.9G;11%;
23:09:39;18/Oct/2019;26.5;948.3;206.2;33.7;30G;2.9G;11%;
23:09:39;18/Oct/2019;27.9;948.3;210.6;33.7;30G;2.9G;11%;
23:09:40;18/Oct/2019;26.5;948.3;210.6;37.2;30G;2.9G;11%;
23:09:40;18/Oct/2019;28.6;948.3;211.6;36.2;30G;2.9G;11%;
23:09:40;18/Oct/2019;30.0;948.3;211.3;36.5;30G;2.9G;11%;
23:09:41;18/Oct/2019;25.7;948.3;212.2;35.6;30G;2.9G;11%;
23:09:41;18/Oct/2019;20.9;948.3;213.0;34.8;30G;2.9G;11%;
23:09:41;18/Oct/2019;22.9;948.3;212.9;34.8;30G;2.9G;11%;
23:09:42;18/Oct/2019;25.0;948.3;213.2;34.5;30G;2.9G;11%;
23:09:42;18/Oct/2019;25.4;948.3;214.0;33.8;30G;2.9G;11%;
23:09:42;18/Oct/2019;26.5;948.3;213.9;33.8;30G;2.9G;11%;
23:09:43;18/Oct/2019;25.4;948.3;214.4;33.3;30G;2.9G;11%;
23:09:43;18/Oct/2019;30.6;948.3;214.5;33.3;30G;2.9G;11%;
23:09:43;18/Oct/2019;26.5;948.3;216.0;31.8;30G;2.9G;11%;
23:09:43;18/Oct/2019;26.5;948.3;216.8;31.0;30G;2.9G;11%;
23:09:44;18/Oct/2019;26.1;948.3;215.5;32.2;30G;2.9G;11%;
23:09:44;18/Oct/2019;26.1;948.3;215.3;32.5;30G;2.9G;11%;
23:09:44;18/Oct/2019;25.0;948.3;215.5;32.3;30G;2.9G;11%;
23:09:45;18/Oct/2019;26.5;948.3;215.3;32.5;30G;2.9G;11%;
23:09:45;18/Oct/2019;27.9;948.3;215.5;32.2;30G;2.9G;11%;
23:09:45;18/Oct/2019;26.5;948.3;215.7;32.1;30G;2.9G;11%;
23:09:46;18/Oct/2019;27.1;948.3;215.5;32.2;30G;2.9G;11%;
23:09:46;18/Oct/2019;26.8;948.3;215.5;32.2;30G;2.9G;11%;
23:09:46;18/Oct/2019;25.4;948.3;215.5;32.2;30G;2.9G;11%;
23:09:47;18/Oct/2019;27.1;948.3;215.8;31.9;30G;2.9G;11%;
23:09:47;18/Oct/2019;26.1;948.3;215.6;32.2;30G;2.9G;11%;
23:09:47;18/Oct/2019;26.1;948.3;216.8;30.9;30G;2.9G;11%;
23:09:48;18/Oct/2019;28.2;948.3;217.0;30.7;30G;2.9G;11%;
23:09:48;18/Oct/2019;27.9;948.3;216.8;30.9;30G;2.9G;11%;
23:09:48;18/Oct/2019;25.7;948.3;218.6;37.1;30G;2.9G;11%;
23:09:48;18/Oct/2019;22.5;948.3;219.4;36.3;30G;2.9G;11%;
23:09:49;18/Oct/2019;26.1;948.3;219.1;36.6;30G;2.9G;11%;
23:09:49;18/Oct/2019;26.8;948.3;219.6;36.1;30G;2.9G;11%;
23:09:49;18/Oct/2019;24.6;948.3;219.6;36.1;30G;2.9G;11%;
23:09:50;18/Oct/2019;24.6;948.3;219.9;35.8;30G;2.9G;11%;
23:09:50;18/Oct/2019;25.0;948.3;220.6;35.1;30G;2.9G;11%;
23:09:50;18/Oct/2019;26.1;948.3;221.1;34.6;30G;2.9G;11%;
23:09:51;18/Oct/2019;27.9;948.3;221.4;34.3;30G;2.9G;11%;
23:09:51;18/Oct/2019;24.6;948.3;221.4;34.3;30G;2.9G;11%;
23:09:51;18/Oct/2019;26.5;948.3;221.4;34.3;30G;2.9G;11%;
23:09:52;18/Oct/2019;26.5;948.3;221.3;34.3;30G;2.9G;11%;
23:09:52;18/Oct/2019;26.5;948.3;221.4;34.3;30G;2.9G;11%;
23:09:52;18/Oct/2019;26.1;948.3;221.4;34.3;30G;2.9G;11%;
23:09:53;18/Oct/2019;26.5;948.3;221.1;34.6;30G;2.9G;11%;
23:09:53;18/Oct/2019;24.6;948.3;221.4;34.3;30G;2.9G;11%;
23:09:53;18/Oct/2019;27.9;948.3;221.7;34.1;30G;2.9G;11%;
23:09:53;18/Oct/2019;24.6;948.3;221.8;33.9;30G;2.9G;11%;
23:09:54;18/Oct/2019;25.0;948.3;221.9;33.8;30G;2.9G;11%;
23:09:54;18/Oct/2019;24.6;948.3;222.3;33.3;30G;2.9G;11%;
23:09:54;18/Oct/2019;26.5;948.3;222.3;33.3;30G;2.9G;11%;
23:09:55;18/Oct/2019;25.7;948.3;222.4;33.3;30G;2.9G;11%;
23:09:55;18/Oct/2019;25.0;948.3;222.8;32.8;30G;2.9G;11%;
23:09:55;18/Oct/2019;24.6;948.3;223.0;32.7;30G;2.9G;11%;
23:09:56;18/Oct/2019;26.5;948.3;223.6;32.1;30G;2.9G;11%;
23:09:56;18/Oct/2019;29.0;948.3;223.6;32.1;30G;2.9G;11%;
23:09:56;18/Oct/2019;26.5;948.3;223.6;32.1;30G;2.9G;11%;
23:09:57;18/Oct/2019;26.5;948.3;224.6;31.1;30G;2.9G;11%;
23:09:57;18/Oct/2019;27.1;948.3;226.7;36.6;30G;2.9G;11%;
23:09:57;18/Oct/2019;26.8;948.3;228.0;35.3;30G;2.9G;11%;
23:09:57;18/Oct/2019;27.1;948.3;227.5;35.8;30G;2.9G;11%;
23:09:58;18/Oct/2019;27.5;948.3;227.5;35.8;30G;2.9G;11%;
23:09:58;18/Oct/2019;26.5;948.3;228.6;34.7;30G;2.9G;11%;
23:09:58;18/Oct/2019;25.0;948.3;228.6;34.8;30G;2.9G;11%;
23:09:59;18/Oct/2019;25.0;948.3;228.6;34.8;30G;2.9G;11%;
23:09:59;18/Oct/2019;24.6;948.3;229.3;34.1;30G;2.9G;11%;
23:09:59;18/Oct/2019;27.9;948.3;229.3;34.1;30G;2.9G;11%;
23:10:00;18/Oct/2019;26.1;948.3;230.5;32.9;30G;2.9G;11%;
23:10:00;18/Oct/2019;26.5;948.3;230.5;32.8;30G;2.9G;11%;
23:10:00;18/Oct/2019;27.5;948.3;231.0;32.3;30G;2.9G;11%;
23:10:01;18/Oct/2019;26.1;948.3;231.0;32.3;30G;2.9G;11%;
23:10:01;18/Oct/2019;26.5;948.3;231.3;32.0;30G;2.9G;11%;
23:10:01;18/Oct/2019;25.0;948.3;232.1;31.2;30G;2.9G;11%;
23:10:02;18/Oct/2019;25.0;948.3;234.0;36.9;30G;2.9G;11%;
23:10:02;18/Oct/2019;26.1;948.3;232.4;38.6;30G;2.9G;11%;
23:10:02;18/Oct/2019;26.1;948.3;231.7;39.3;30G;2.9G;11%;
23:10:02;18/Oct/2019;28.6;948.3;231.4;39.6;30G;2.9G;11%;
23:10:03;18/Oct/2019;26.8;948.3;231.6;39.4;30G;2.9G;11%;
23:10:03;18/Oct/2019;26.5;948.3;232.0;39.0;30G;2.9G;11%;
23:10:03;18/Oct/2019;25.0;948.3;231.7;39.4;30G;2.9G;11%;
23:10:04;18/Oct/2019;29.0;948.3;230.8;40.2;30G;2.9G;11%;
23:10:04;18/Oct/2019;26.1;948.3;231.6;39.4;30G;2.9G;11%;
23:10:04;18/Oct/2019;26.5;948.3;231.4;39.6;30G;2.9G;11%;
23:10:05;18/Oct/2019;25.4;948.3;231.4;39.7;30G;2.9G;11%;
23:10:05;18/Oct/2019;27.1;948.3;231.6;39.4;30G;2.9G;11%;
23:10:05;18/Oct/2019;23.6;948.3;231.6;39.4;30G;2.9G;11%;
23:10:06;18/Oct/2019;28.6;948.3;231.4;39.6;30G;2.9G;11%;
23:10:06;18/Oct/2019;26.8;948.3;232.9;38.1;30G;2.9G;11%;
23:10:06;18/Oct/2019;28.6;948.3;232.9;38.1;30G;2.9G;11%;
23:10:06;18/Oct/2019;28.6;948.3;232.8;38.1;30G;2.9G;11%;
23:10:07;18/Oct/2019;27.9;948.3;234.4;36.6;30G;2.9G;11%;
23:10:07;18/Oct/2019;26.5;948.3;234.0;37.0;30G;2.9G;11%;
23:10:07;18/Oct/2019;26.5;948.3;234.4;36.6;30G;2.9G;11%;
23:10:08;18/Oct/2019;25.0;948.3;234.4;36.6;30G;2.9G;11%;
23:10:08;18/Oct/2019;26.1;948.3;235.4;35.6;30G;2.9G;11%;
23:10:08;18/Oct/2019;26.8;948.3;235.7;35.3;30G;2.9G;11%;
23:10:09;18/Oct/2019;28.6;948.3;235.9;35.1;30G;2.9G;11%;
23:10:09;18/Oct/2019;26.8;948.3;235.7;35.3;30G;2.9G;11%;
23:10:09;18/Oct/2019;25.4;948.3;236.8;34.1;30G;2.9G;11%;
23:10:10;18/Oct/2019;25.4;948.3;236.9;34.1;30G;2.9G;11%;
23:10:10;18/Oct/2019;29.6;948.3;236.7;34.3;30G;2.9G;11%;
23:10:10;18/Oct/2019;26.5;948.3;237.2;33.9;30G;2.9G;11%;
23:10:11;18/Oct/2019;25.0;948.3;236.9;34.1;30G;2.9G;11%;
23:10:11;18/Oct/2019;25.4;948.3;237.1;33.9;30G;2.9G;11%;
23:10:11;18/Oct/2019;25.0;948.3;237.1;33.9;30G;2.9G;11%;
23:10:11;18/Oct/2019;26.5;948.3;237.4;33.7;30G;2.9G;11%;
23:10:12;18/Oct/2019;25.0;948.3;237.6;33.4;30G;2.9G;11%;
23:10:12;18/Oct/2019;26.5;948.3;237.9;33.1;30G;2.9G;11%;
23:10:12;18/Oct/2019;27.9;948.3;237.7;33.4;30G;2.9G;11%;
23:10:13;18/Oct/2019;25.0;948.3;237.9;33.1;30G;2.9G;11%;
23:10:13;18/Oct/2019;26.5;948.3;238.2;32.8;30G;2.9G;11%;
23:10:13;18/Oct/2019;26.8;948.3;237.9;33.1;30G;2.9G;11%;
23:10:14;18/Oct/2019;25.4;948.3;238.7;32.3;30G;2.9G;11%;
23:10:14;18/Oct/2019;25.7;948.3;238.8;32.2;30G;2.9G;11%;
23:10:14;18/Oct/2019;25.7;948.3;238.9;32.1;30G;2.9G;11%;
23:10:15;18/Oct/2019;27.9;948.3;239.5;31.5;30G;2.9G;11%;
23:10:15;18/Oct/2019;25.0;948.3;239.4;31.6;30G;2.9G;11%;
23:10:15;18/Oct/2019;26.5;948.3;241.8;36.6;30G;2.9G;11%;
23:10:15;18/Oct/2019;25.7;948.3;241.5;37.1;30G;2.9G;11%;
23:10:16;18/Oct/2019;27.1;948.3;243.5;35.1;30G;2.9G;11%;
23:10:16;18/Oct/2019;27.1;948.3;243.7;34.9;30G;2.9G;11%;
23:10:16;18/Oct/2019;24.6;948.3;243.4;35.1;30G;2.9G;11%;
23:10:17;18/Oct/2019;26.5;948.3;245.2;33.3;30G;2.9G;11%;
23:10:17;18/Oct/2019;26.1;948.3;244.7;33.9;30G;2.9G;11%;
23:10:17;18/Oct/2019;26.1;948.3;245.0;33.6;30G;2.9G;11%;
23:10:18;18/Oct/2019;22.1;948.3;245.2;33.3;30G;2.9G;11%;
23:10:18;18/Oct/2019;27.9;948.3;245.2;33.4;30G;2.9G;11%;
23:10:18;18/Oct/2019;26.1;948.3;245.2;33.4;30G;2.9G;11%;
23:10:19;18/Oct/2019;26.5;948.3;246.8;31.8;30G;2.9G;11%;
23:10:19;18/Oct/2019;26.1;948.3;246.7;31.9;30G;2.9G;11%;
23:10:19;18/Oct/2019;25.0;948.3;246.7;31.9;30G;2.9G;11%;
23:10:20;18/Oct/2019;26.5;948.3;247.2;31.4;30G;2.9G;11%;
23:10:20;18/Oct/2019;25.0;948.3;247.2;31.4;30G;2.9G;11%;
23:10:20;18/Oct/2019;23.5;948.3;249.9;35.9;30G;2.9G;11%;
23:10:20;18/Oct/2019;27.9;948.3;249.1;36.9;30G;2.9G;11%;
23:10:21;18/Oct/2019;25.0;948.3;249.2;36.7;30G;2.9G;11%;
23:10:21;18/Oct/2019;24.6;948.3;249.2;36.7;30G;2.9G;11%;
23:10:21;18/Oct/2019;25.0;948.3;247.8;38.1;30G;2.9G;11%;
23:10:22;18/Oct/2019;26.5;948.3;248.5;37.4;30G;2.9G;11%;
23:10:22;18/Oct/2019;25.3;948.3;248.0;37.9;30G;2.9G;11%;
