time;date;cpu_use;ram_total;ram_used;ram_free;disk_total;disk_free;disk_perc;
22:50:25;13/May/2020;91.3;948.3;270.2;368.1;30G;3.7G;14%;
22:50:26;13/May/2020;93.8;948.3;266.1;372.0;30G;3.7G;14%;
22:50:26;13/May/2020;51.3;948.3;266.8;371.3;30G;3.7G;14%;
22:50:27;13/May/2020;53.2;948.3;266.8;371.1;30G;3.7G;14%;
22:50:27;13/May/2020;51.3;948.3;266.8;371.1;30G;3.7G;14%;
22:50:28;13/May/2020;53.2;948.3;267.0;370.9;30G;3.7G;14%;
22:50:28;13/May/2020;50.6;948.3;267.3;370.6;30G;3.7G;14%;
22:50:28;13/May/2020;25.0;948.3;268.3;369.6;30G;3.7G;14%;
22:50:29;13/May/2020;29.3;948.3;268.1;369.9;30G;3.7G;14%;
22:50:29;13/May/2020;27.0;948.3;267.8;370.1;30G;3.7G;14%;
22:50:29;13/May/2020;26.0;948.3;261.5;376.5;30G;3.7G;14%;
22:50:30;13/May/2020;94.8;948.3;272.1;365.8;30G;3.7G;14%;
22:50:30;13/May/2020;94.6;948.3;272.3;365.6;30G;3.7G;14%;
22:50:31;13/May/2020;95.5;948.3;268.7;369.3;30G;3.7G;14%;
22:50:31;13/May/2020;94.8;948.3;273.6;364.3;30G;3.7G;14%;
22:50:32;13/May/2020;87.1;948.3;274.4;363.5;30G;3.7G;14%;
22:50:32;13/May/2020;90.6;948.3;274.7;363.2;30G;3.7G;14%;
22:50:32;13/May/2020;93.2;948.3;274.0;363.9;30G;3.7G;14%;
22:50:33;13/May/2020;90.9;948.3;274.4;363.5;30G;3.7G;14%;
22:50:33;13/May/2020;87.5;948.3;274.6;363.2;30G;3.7G;14%;
22:50:34;13/May/2020;91.3;948.3;277.2;360.7;30G;3.7G;14%;
22:50:34;13/May/2020;93.8;948.3;277.6;360.3;30G;3.7G;14%;
22:50:35;13/May/2020;88.6;948.3;281.4;356.5;30G;3.7G;14%;
22:50:35;13/May/2020;87.6;948.3;281.8;356.1;30G;3.7G;14%;
22:50:35;13/May/2020;33.3;948.3;278.0;359.9;30G;3.7G;14%;
22:50:36;13/May/2020;26.7;948.3;277.8;360.1;30G;3.7G;14%;
22:50:36;13/May/2020;27.3;948.3;277.7;360.2;30G;3.7G;14%;
22:50:37;13/May/2020;28.2;948.3;277.0;360.9;30G;3.7G;14%;
22:50:37;13/May/2020;30.1;948.3;277.0;360.9;30G;3.7G;14%;
22:50:37;13/May/2020;30.3;948.3;277.3;360.5;30G;3.7G;14%;
22:50:38;13/May/2020;29.9;948.3;277.6;360.3;30G;3.7G;14%;
22:50:38;13/May/2020;29.9;948.3;277.3;360.6;30G;3.7G;14%;
22:50:38;13/May/2020;29.5;948.3;277.8;360.0;30G;3.7G;14%;
22:50:39;13/May/2020;26.9;948.3;277.9;359.9;30G;3.7G;14%;
22:50:39;13/May/2020;28.0;948.3;277.8;360.0;30G;3.7G;14%;
22:50:40;13/May/2020;29.3;948.3;277.9;360.0;30G;3.7G;14%;
22:50:40;13/May/2020;27.8;948.3;277.8;360.0;30G;3.7G;14%;
22:50:40;13/May/2020;30.4;948.3;278.1;359.8;30G;3.7G;14%;
22:50:41;13/May/2020;26.3;948.3;278.1;359.8;30G;3.7G;14%;
22:50:41;13/May/2020;28.6;948.3;278.2;359.6;30G;3.7G;14%;
22:50:41;13/May/2020;28.6;948.3;277.7;360.1;30G;3.7G;14%;
22:50:42;13/May/2020;89.9;948.3;278.7;359.2;30G;3.7G;14%;
22:50:42;13/May/2020;32.1;948.3;277.9;360.0;30G;3.7G;14%;
22:50:43;13/May/2020;88.6;948.3;278.1;359.8;30G;3.7G;14%;
22:50:43;13/May/2020;28.4;948.3;278.3;359.5;30G;3.7G;14%;
22:50:43;13/May/2020;26.7;948.3;278.1;359.7;30G;3.7G;14%;
22:50:44;13/May/2020;39.7;948.3;277.5;360.4;30G;3.7G;14%;
22:50:44;13/May/2020;92.9;948.3;276.7;361.1;30G;3.7G;14%;
22:50:45;13/May/2020;94.3;948.3;277.0;360.9;30G;3.7G;14%;
22:50:45;13/May/2020;92.4;948.3;277.1;360.7;30G;3.7G;14%;
22:50:45;13/May/2020;95.5;948.3;277.1;360.8;30G;3.7G;14%;
22:50:46;13/May/2020;92.0;948.3;277.9;360.0;30G;3.7G;14%;
22:50:46;13/May/2020;95.5;948.3;277.4;360.5;30G;3.7G;14%;
22:50:47;13/May/2020;94.0;948.3;276.9;361.0;30G;3.7G;14%;
22:50:47;13/May/2020;94.3;948.3;277.1;360.7;30G;3.7G;14%;
22:50:48;13/May/2020;90.2;948.3;277.7;360.2;30G;3.7G;14%;
22:50:48;13/May/2020;93.5;948.3;279.4;358.4;30G;3.7G;14%;
22:50:49;13/May/2020;75.0;948.3;279.7;358.2;30G;3.7G;14%;
22:50:49;13/May/2020;28.9;948.3;280.0;357.8;30G;3.7G;14%;
22:50:49;13/May/2020;27.8;948.3;280.0;357.8;30G;3.7G;14%;
22:50:50;13/May/2020;29.3;948.3;280.3;357.5;30G;3.7G;14%;
22:50:50;13/May/2020;29.5;948.3;280.0;357.8;30G;3.7G;14%;
22:50:50;13/May/2020;27.6;948.3;280.3;357.5;30G;3.7G;14%;
22:50:51;13/May/2020;24.7;948.3;280.3;357.5;30G;3.7G;14%;
22:50:51;13/May/2020;27.0;948.3;280.1;357.8;30G;3.7G;14%;
22:50:52;13/May/2020;29.9;948.3;280.4;357.5;30G;3.7G;14%;
22:50:52;13/May/2020;28.4;948.3;280.2;357.6;30G;3.7G;14%;
22:50:52;13/May/2020;30.4;948.3;280.3;357.6;30G;3.7G;14%;
22:50:53;13/May/2020;25.3;948.3;280.4;357.4;30G;3.7G;14%;
22:50:53;13/May/2020;27.3;948.3;280.6;357.2;30G;3.7G;14%;
22:50:53;13/May/2020;25.6;948.3;280.2;357.7;30G;3.7G;14%;
22:50:54;13/May/2020;26.3;948.3;279.9;358.0;30G;3.7G;14%;
22:50:54;13/May/2020;81.0;948.3;277.2;360.6;30G;3.7G;14%;
22:50:55;13/May/2020;97.7;948.3;276.7;361.2;30G;3.7G;14%;
22:50:55;13/May/2020;94.8;948.3;276.8;361.1;30G;3.7G;14%;
22:50:55;13/May/2020;95.5;948.3;276.6;361.2;30G;3.7G;14%;
22:50:56;13/May/2020;91.3;948.3;277.5;360.3;30G;3.7G;14%;
22:50:56;13/May/2020;94.8;948.3;277.6;360.2;30G;3.7G;14%;
22:50:57;13/May/2020;88.0;948.3;277.6;360.2;30G;3.7G;14%;
22:50:57;13/May/2020;91.4;948.3;277.6;360.2;30G;3.7G;14%;
22:50:58;13/May/2020;57.7;948.3;277.0;360.8;30G;3.7G;14%;
22:50:58;13/May/2020;26.7;948.3;276.8;361.0;30G;3.7G;14%;
22:50:58;13/May/2020;27.6;948.3;276.6;361.2;30G;3.7G;14%;
22:50:59;13/May/2020;25.7;948.3;276.2;361.6;30G;3.7G;14%;
22:50:59;13/May/2020;26.9;948.3;276.6;361.2;30G;3.7G;14%;
22:51:00;13/May/2020;27.6;948.3;276.4;361.4;30G;3.7G;14%;
22:51:00;13/May/2020;25.6;948.3;276.6;361.1;30G;3.7G;14%;
22:51:00;13/May/2020;27.6;948.3;276.3;361.4;30G;3.7G;14%;
22:51:01;13/May/2020;26.7;948.3;276.5;361.3;30G;3.7G;14%;
