time;date;cpu_use;ram_total;ram_used;ram_free;disk_total;disk_free;disk_perc;
18:39:20;13/May/2020;23.1;948.3;214.2;464.7;30G;3.7G;14%;
18:39:21;13/May/2020;30.7;948.3;213.3;465.6;30G;3.7G;14%;
18:39:21;13/May/2020;23.0;948.3;213.3;465.1;30G;3.7G;14%;
18:39:22;13/May/2020;25.3;948.3;213.3;465.1;30G;3.7G;14%;
18:39:22;13/May/2020;29.3;948.3;213.1;465.3;30G;3.7G;14%;
18:39:22;13/May/2020;26.7;948.3;213.6;464.8;30G;3.7G;14%;
18:39:23;13/May/2020;24.0;948.3;214.6;463.8;30G;3.7G;14%;
18:39:23;13/May/2020;33.3;948.3;215.1;463.3;30G;3.7G;14%;
18:39:23;13/May/2020;26.7;948.3;215.4;463.0;30G;3.7G;14%;
18:39:24;13/May/2020;25.6;948.3;212.4;465.9;30G;3.7G;14%;
18:39:24;13/May/2020;40.8;948.3;222.4;455.9;30G;3.7G;14%;
18:39:24;13/May/2020;33.3;948.3;222.2;453.7;30G;3.7G;14%;
18:39:25;13/May/2020;28.0;948.3;222.5;453.5;30G;3.7G;14%;
18:39:25;13/May/2020;26.0;948.3;223.2;452.7;30G;3.7G;14%;
18:39:25;13/May/2020;26.3;948.3;223.3;452.6;30G;3.7G;14%;
18:39:26;13/May/2020;28.0;948.3;223.1;452.8;30G;3.7G;14%;
18:39:26;13/May/2020;26.3;948.3;223.4;452.5;30G;3.7G;14%;
18:39:27;13/May/2020;26.7;948.3;224.2;451.8;30G;3.7G;14%;
18:39:27;13/May/2020;30.1;948.3;224.2;451.7;30G;3.7G;14%;
18:39:27;13/May/2020;26.7;948.3;224.6;451.3;30G;3.7G;14%;
18:39:28;13/May/2020;26.3;948.3;219.1;456.7;30G;3.7G;14%;
18:39:28;13/May/2020;42.7;948.3;233.5;442.4;30G;3.7G;14%;
18:39:28;13/May/2020;28.0;948.3;232.7;443.2;30G;3.7G;14%;
18:39:29;13/May/2020;25.3;948.3;232.7;443.2;30G;3.7G;14%;
18:39:29;13/May/2020;26.7;948.3;232.7;443.2;30G;3.7G;14%;
18:39:29;13/May/2020;28.9;948.3;233.0;442.9;30G;3.7G;14%;
18:39:30;13/May/2020;26.7;948.3;232.7;443.1;30G;3.7G;14%;
18:39:30;13/May/2020;26.0;948.3;233.9;442.0;30G;3.7G;14%;
18:39:30;13/May/2020;26.7;948.3;233.9;442.0;30G;3.7G;14%;
18:39:31;13/May/2020;28.0;948.3;233.4;442.5;30G;3.7G;14%;
18:39:31;13/May/2020;27.6;948.3;227.7;448.2;30G;3.7G;14%;
18:39:32;13/May/2020;38.2;948.3;243.1;432.8;30G;3.7G;14%;
18:39:32;13/May/2020;31.6;948.3;241.9;434.0;30G;3.7G;14%;
18:39:32;13/May/2020;27.6;948.3;241.8;434.0;30G;3.7G;14%;
18:39:33;13/May/2020;27.6;948.3;241.5;434.4;30G;3.7G;14%;
18:39:33;13/May/2020;30.3;948.3;242.1;433.8;30G;3.7G;14%;
18:39:33;13/May/2020;26.7;948.3;241.8;434.1;30G;3.7G;14%;
18:39:34;13/May/2020;26.7;948.3;242.6;433.3;30G;3.7G;14%;
18:39:34;13/May/2020;26.0;948.3;242.6;433.3;30G;3.7G;14%;
18:39:34;13/May/2020;26.7;948.3;242.7;433.2;30G;3.7G;14%;
18:39:35;13/May/2020;27.6;948.3;236.4;439.5;30G;3.7G;14%;
18:39:35;13/May/2020;50.7;948.3;251.0;420.7;30G;3.7G;14%;
18:39:36;13/May/2020;87.4;948.3;269.8;401.3;30G;3.7G;14%;
18:39:36;13/May/2020;97.7;948.3;266.8;404.3;30G;3.7G;14%;
18:39:36;13/May/2020;92.4;948.3;267.7;403.0;30G;3.7G;14%;
18:39:37;13/May/2020;60.2;948.3;267.5;403.3;30G;3.7G;14%;
18:39:37;13/May/2020;54.4;948.3;267.9;402.8;30G;3.7G;14%;
18:39:38;13/May/2020;52.5;948.3;267.6;403.1;30G;3.7G;14%;
18:39:38;13/May/2020;51.3;948.3;268.1;402.7;30G;3.7G;14%;
18:39:38;13/May/2020;51.9;948.3;268.0;402.8;30G;3.7G;14%;
18:39:39;13/May/2020;52.5;948.3;269.0;401.7;30G;3.7G;14%;
