time;date;cpu_use;ram_total;ram_used;ram_free;disk_total;disk_free;disk_perc;
21:38:21;13/May/2020;26.9;948.3;212.0;466.7;30G;3.7G;14%;
21:38:22;13/May/2020;24.7;948.3;212.4;466.2;30G;3.7G;14%;
21:38:22;13/May/2020;30.3;948.3;212.8;465.7;30G;3.7G;14%;
21:38:22;13/May/2020;27.6;948.3;212.9;465.7;30G;3.7G;14%;
21:38:23;13/May/2020;24.0;948.3;214.6;463.9;30G;3.7G;14%;
21:38:23;13/May/2020;25.0;948.3;214.9;463.6;30G;3.7G;14%;
21:38:23;13/May/2020;27.6;948.3;215.2;463.3;30G;3.7G;14%;
21:38:24;13/May/2020;26.3;948.3;208.7;469.8;30G;3.7G;14%;
21:38:24;13/May/2020;38.2;948.3;222.2;454.3;30G;3.7G;14%;
21:38:24;13/May/2020;25.0;948.3;222.4;453.7;30G;3.7G;14%;
21:38:25;13/May/2020;28.4;948.3;223.2;452.9;30G;3.7G;14%;
21:38:25;13/May/2020;29.3;948.3;222.9;453.1;30G;3.7G;14%;
21:38:26;13/May/2020;25.0;948.3;223.4;452.6;30G;3.7G;14%;
21:38:26;13/May/2020;30.3;948.3;223.7;452.4;30G;3.7G;14%;
21:38:26;13/May/2020;25.3;948.3;224.6;451.4;30G;3.7G;14%;
21:38:27;13/May/2020;28.0;948.3;224.5;451.5;30G;3.7G;14%;
21:38:27;13/May/2020;32.0;948.3;224.8;451.2;30G;3.7G;14%;
21:38:27;13/May/2020;27.6;948.3;218.5;457.5;30G;3.7G;14%;
21:38:28;13/May/2020;39.2;948.3;235.5;440.5;30G;3.7G;14%;
21:38:28;13/May/2020;26.3;948.3;233.1;442.8;30G;3.7G;14%;
21:38:28;13/May/2020;26.6;948.3;233.1;442.9;30G;3.7G;14%;
21:38:29;13/May/2020;25.0;948.3;232.8;443.2;30G;3.7G;14%;
21:38:29;13/May/2020;26.6;948.3;233.3;442.7;30G;3.7G;14%;
21:38:29;13/May/2020;27.6;948.3;232.9;443.1;30G;3.7G;14%;
21:38:30;13/May/2020;29.1;948.3;233.8;442.2;30G;3.7G;14%;
21:38:30;13/May/2020;27.6;948.3;233.6;442.4;30G;3.7G;14%;
21:38:31;13/May/2020;26.3;948.3;233.6;442.4;30G;3.7G;14%;
21:38:31;13/May/2020;28.6;948.3;227.8;448.1;30G;3.7G;14%;
21:38:31;13/May/2020;48.1;948.3;243.6;432.3;30G;3.7G;14%;
21:38:32;13/May/2020;28.9;948.3;242.1;433.8;30G;3.7G;14%;
21:38:32;13/May/2020;30.3;948.3;242.2;433.8;30G;3.7G;14%;
21:38:32;13/May/2020;25.0;948.3;242.4;433.5;30G;3.7G;14%;
21:38:33;13/May/2020;25.0;948.3;242.2;433.7;30G;3.7G;14%;
21:38:33;13/May/2020;27.6;948.3;242.7;433.3;30G;3.7G;14%;
21:38:33;13/May/2020;26.7;948.3;242.7;433.3;30G;3.7G;14%;
21:38:34;13/May/2020;29.3;948.3;243.2;432.8;30G;3.7G;14%;
21:38:34;13/May/2020;26.7;948.3;243.0;433.0;30G;3.7G;14%;
21:38:34;13/May/2020;26.3;948.3;243.2;432.8;30G;3.7G;14%;
21:38:35;13/May/2020;37.2;948.3;241.5;432.3;30G;3.7G;14%;
21:38:35;13/May/2020;91.7;948.3;252.6;418.6;30G;3.7G;14%;
21:38:36;13/May/2020;51.3;948.3;252.9;417.9;30G;3.7G;14%;
21:38:36;13/May/2020;53.2;948.3;252.9;418.0;30G;3.7G;14%;
21:38:36;13/May/2020;26.0;948.3;253.5;417.3;30G;3.7G;14%;
21:38:37;13/May/2020;28.9;948.3;253.2;417.7;30G;3.7G;14%;
21:38:37;13/May/2020;26.7;948.3;253.8;417.1;30G;3.7G;14%;
21:38:37;13/May/2020;29.3;948.3;255.0;415.9;30G;3.7G;14%;
21:38:38;13/May/2020;26.7;948.3;255.0;415.8;30G;3.7G;14%;
21:38:38;13/May/2020;28.0;948.3;255.4;415.4;30G;3.7G;14%;
21:38:39;13/May/2020;28.0;948.3;248.7;422.1;30G;3.7G;14%;
21:38:39;13/May/2020;90.4;948.3;267.2;403.6;30G;3.7G;14%;
21:38:39;13/May/2020;96.0;948.3;267.7;403.1;30G;3.7G;14%;
21:38:40;13/May/2020;95.8;948.3;267.4;403.4;30G;3.7G;14%;
21:38:40;13/May/2020;92.4;948.3;275.3;395.5;30G;3.7G;14%;
21:38:41;13/May/2020;95.7;948.3;275.9;394.9;30G;3.7G;14%;
21:38:41;13/May/2020;92.0;948.3;275.9;394.8;30G;3.7G;14%;
21:38:42;13/May/2020;89.8;948.3;277.7;393.0;30G;3.7G;14%;
21:38:42;13/May/2020;89.6;948.3;277.6;393.0;30G;3.7G;14%;
21:38:42;13/May/2020;95.4;948.3;277.8;392.9;30G;3.7G;14%;
21:38:43;13/May/2020;90.1;948.3;277.9;392.8;30G;3.7G;14%;
