time;date;cpu_use;ram_total;ram_used;ram_free;disk_total;disk_free;disk_perc;
20:07:01;22/Jul/2019;1,1;949.0;243.0;496.0;30G;1,9G;7%;
20:07:01;22/Jul/2019;1,1;949.0;244.0;495.0;30G;1,9G;7%;
20:07:01;22/Jul/2019;1,1;949.0;244.0;495.0;30G;1,9G;7%;
20:07:02;22/Jul/2019;1,1;949.0;244.0;495.0;30G;1,9G;7%;
20:07:02;22/Jul/2019;1,1;949.0;244.0;495.0;30G;1,9G;7%;
20:07:02;22/Jul/2019;1,1;949.0;244.0;495.0;30G;1,9G;7%;
20:07:03;22/Jul/2019;1,1;949.0;244.0;495.0;30G;1,9G;7%;
20:07:03;22/Jul/2019;1,1;949.0;246.0;493.0;30G;1,9G;7%;
20:07:03;22/Jul/2019;1,1;949.0;253.0;485.0;30G;1,9G;7%;
20:07:03;22/Jul/2019;1,1;949.0;253.0;486.0;30G;1,9G;7%;
20:07:04;22/Jul/2019;1,1;949.0;253.0;486.0;30G;1,9G;7%;
20:07:04;22/Jul/2019;1,1;949.0;255.0;484.0;30G;1,9G;7%;
20:07:04;22/Jul/2019;1,1;949.0;254.0;485.0;30G;1,9G;7%;
20:07:05;22/Jul/2019;1,1;949.0;254.0;485.0;30G;1,9G;7%;
20:07:05;22/Jul/2019;1,1;949.0;254.0;485.0;30G;1,9G;7%;
20:07:05;22/Jul/2019;1,2;949.0;254.0;485.0;30G;1,9G;7%;
20:07:06;22/Jul/2019;1,2;949.0;258.0;481.0;30G;1,9G;7%;
20:07:06;22/Jul/2019;1,2;949.0;257.0;481.0;30G;1,9G;7%;
20:07:06;22/Jul/2019;1,2;949.0;257.0;481.0;30G;1,9G;7%;
20:07:07;22/Jul/2019;1,2;949.0;258.0;481.0;30G;1,9G;7%;
20:07:07;22/Jul/2019;1,2;949.0;258.0;481.0;30G;1,9G;7%;
20:07:07;22/Jul/2019;1,2;949.0;257.0;481.0;30G;1,9G;7%;
20:07:08;22/Jul/2019;1,2;949.0;258.0;481.0;30G;1,9G;7%;
20:07:08;22/Jul/2019;1,2;949.0;257.0;481.0;30G;1,9G;7%;
20:07:08;22/Jul/2019;1,2;949.0;257.0;481.0;30G;1,9G;7%;
20:07:09;22/Jul/2019;1,2;949.0;257.0;481.0;30G;1,9G;7%;
20:07:09;22/Jul/2019;1,2;949.0;257.0;481.0;30G;1,9G;7%;
20:07:09;22/Jul/2019;1,2;949.0;257.0;481.0;30G;1,9G;7%;
20:07:10;22/Jul/2019;1,2;949.0;257.0;481.0;30G;1,9G;7%;
20:07:10;22/Jul/2019;1,2;949.0;257.0;481.0;30G;1,9G;7%;
20:07:10;22/Jul/2019;1,2;949.0;258.0;481.0;30G;1,9G;7%;
20:07:10;22/Jul/2019;1,2;949.0;258.0;481.0;30G;1,9G;7%;
20:07:11;22/Jul/2019;1,2;949.0;258.0;481.0;30G;1,9G;7%;
20:07:11;22/Jul/2019;1,2;949.0;258.0;481.0;30G;1,9G;7%;
20:07:11;22/Jul/2019;1,2;949.0;258.0;481.0;30G;1,9G;7%;
20:07:12;22/Jul/2019;1,2;949.0;258.0;481.0;30G;1,9G;7%;
20:07:12;22/Jul/2019;1,2;949.0;259.0;480.0;30G;1,9G;7%;
20:07:12;22/Jul/2019;1,2;949.0;259.0;479.0;30G;1,9G;7%;
20:07:13;22/Jul/2019;1,2;949.0;259.0;480.0;30G;1,9G;7%;
20:07:13;22/Jul/2019;1,2;949.0;259.0;480.0;30G;1,9G;7%;
20:07:13;22/Jul/2019;1,2;949.0;259.0;479.0;30G;1,9G;7%;
20:07:14;22/Jul/2019;1,2;949.0;259.0;479.0;30G;1,9G;7%;
20:07:14;22/Jul/2019;1,2;949.0;260.0;478.0;30G;1,9G;7%;
20:07:14;22/Jul/2019;1,2;949.0;260.0;478.0;30G;1,9G;7%;
20:07:15;22/Jul/2019;1,2;949.0;260.0;478.0;30G;1,9G;7%;
20:07:15;22/Jul/2019;1,2;949.0;260.0;478.0;30G;1,9G;7%;
20:07:15;22/Jul/2019;1,3;949.0;260.0;478.0;30G;1,9G;7%;
20:07:16;22/Jul/2019;1,3;949.0;260.0;478.0;30G;1,9G;7%;
20:07:16;22/Jul/2019;1,3;949.0;260.0;478.0;30G;1,9G;7%;
20:07:16;22/Jul/2019;1,3;949.0;261.0;478.0;30G;1,9G;7%;
20:07:16;22/Jul/2019;1,3;949.0;261.0;478.0;30G;1,9G;7%;
20:07:17;22/Jul/2019;1,3;949.0;261.0;478.0;30G;1,9G;7%;
20:07:17;22/Jul/2019;1,3;949.0;261.0;478.0;30G;1,9G;7%;
20:07:17;22/Jul/2019;1,3;949.0;260.0;478.0;30G;1,9G;7%;
20:07:18;22/Jul/2019;1,3;949.0;261.0;478.0;30G;1,9G;7%;
20:07:18;22/Jul/2019;1,3;949.0;261.0;478.0;30G;1,9G;7%;
20:07:18;22/Jul/2019;1,3;949.0;261.0;478.0;30G;1,9G;7%;
20:07:19;22/Jul/2019;1,3;949.0;261.0;478.0;30G;1,9G;7%;
20:07:19;22/Jul/2019;1,3;949.0;261.0;478.0;30G;1,9G;7%;
20:07:19;22/Jul/2019;1,3;949.0;261.0;478.0;30G;1,9G;7%;
20:07:20;22/Jul/2019;1,3;949.0;261.0;478.0;30G;1,9G;7%;
20:07:20;22/Jul/2019;1,3;949.0;261.0;478.0;30G;1,9G;7%;
20:07:20;22/Jul/2019;1,3;949.0;261.0;477.0;30G;1,9G;7%;
20:07:21;22/Jul/2019;1,3;949.0;261.0;477.0;30G;1,9G;7%;
20:07:21;22/Jul/2019;1,3;949.0;261.0;477.0;30G;1,9G;7%;
20:07:21;22/Jul/2019;1,3;949.0;262.0;477.0;30G;1,9G;7%;
20:07:22;22/Jul/2019;1,3;949.0;262.0;477.0;30G;1,9G;7%;
20:07:22;22/Jul/2019;1,3;949.0;261.0;477.0;30G;1,9G;7%;
20:07:22;22/Jul/2019;1,3;949.0;262.0;477.0;30G;1,9G;7%;
20:07:23;22/Jul/2019;1,3;949.0;262.0;477.0;30G;1,9G;7%;
20:07:23;22/Jul/2019;1,3;949.0;262.0;477.0;30G;1,9G;7%;
20:07:23;22/Jul/2019;1,3;949.0;262.0;477.0;30G;1,9G;7%;
20:07:23;22/Jul/2019;1,3;949.0;262.0;476.0;30G;1,9G;7%;
20:07:24;22/Jul/2019;1,3;949.0;262.0;476.0;30G;1,9G;7%;
20:07:24;22/Jul/2019;1,3;949.0;263.0;476.0;30G;1,9G;7%;
20:07:24;22/Jul/2019;1,3;949.0;269.0;470.0;30G;1,9G;7%;
20:07:25;22/Jul/2019;1,3;949.0;270.0;468.0;30G;1,9G;7%;
20:07:25;22/Jul/2019;1,3;949.0;270.0;468.0;30G;1,9G;7%;
20:07:25;22/Jul/2019;1,4;949.0;270.0;469.0;30G;1,9G;7%;
20:07:26;22/Jul/2019;1,4;949.0;271.0;468.0;30G;1,9G;7%;
20:07:26;22/Jul/2019;1,4;949.0;271.0;467.0;30G;1,9G;7%;
20:07:26;22/Jul/2019;1,4;949.0;271.0;468.0;30G;1,9G;7%;
20:07:27;22/Jul/2019;1,4;949.0;271.0;467.0;30G;1,9G;7%;
20:07:27;22/Jul/2019;1,4;949.0;271.0;467.0;30G;1,9G;7%;
20:07:27;22/Jul/2019;1,4;949.0;271.0;467.0;30G;1,9G;7%;
20:07:28;22/Jul/2019;1,4;949.0;276.0;463.0;30G;1,9G;7%;
20:07:28;22/Jul/2019;1,4;949.0;275.0;464.0;30G;1,9G;7%;
20:07:28;22/Jul/2019;1,4;949.0;275.0;464.0;30G;1,9G;7%;
20:07:29;22/Jul/2019;1,4;949.0;275.0;463.0;30G;1,9G;7%;
20:07:29;22/Jul/2019;1,4;949.0;275.0;464.0;30G;1,9G;7%;
20:07:29;22/Jul/2019;1,4;949.0;275.0;464.0;30G;1,9G;7%;
20:07:29;22/Jul/2019;1,4;949.0;275.0;464.0;30G;1,9G;7%;
20:07:30;22/Jul/2019;1,4;949.0;275.0;463.0;30G;1,9G;7%;
20:07:30;22/Jul/2019;1,4;949.0;275.0;463.0;30G;1,9G;7%;
20:07:31;22/Jul/2019;1,4;949.0;275.0;463.0;30G;1,9G;7%;
20:07:31;22/Jul/2019;1,4;949.0;275.0;464.0;30G;1,9G;7%;
20:07:31;22/Jul/2019;1,4;949.0;275.0;463.0;30G;1,9G;7%;
20:07:32;22/Jul/2019;1,4;949.0;275.0;463.0;30G;1,9G;7%;
20:07:32;22/Jul/2019;1,4;949.0;275.0;463.0;30G;1,9G;7%;
20:07:32;22/Jul/2019;1,4;949.0;275.0;463.0;30G;1,9G;7%;
20:07:33;22/Jul/2019;1,4;949.0;275.0;464.0;30G;1,9G;7%;
20:07:33;22/Jul/2019;1,4;949.0;275.0;463.0;30G;1,9G;7%;
20:07:33;22/Jul/2019;1,4;949.0;275.0;463.0;30G;1,9G;7%;
20:07:33;22/Jul/2019;1,4;949.0;275.0;463.0;30G;1,9G;7%;
20:07:34;22/Jul/2019;1,4;949.0;275.0;463.0;30G;1,9G;7%;
