time;date;cpu_use;ram_total;ram_used;ram_free;disk_total;disk_free;disk_perc;
01:00:07;06/Feb/2020;1.3;948.3;179.4;515.3;30G;3.3G;12%;
01:00:07;06/Feb/2020;2.6;948.3;179.8;514.9;30G;3.3G;12%;
01:00:08;06/Feb/2020;31.3;948.3;182.2;511.1;30G;3.3G;12%;
01:00:08;06/Feb/2020;26.5;948.3;183.3;510.1;30G;3.3G;12%;
01:00:08;06/Feb/2020;26.5;948.3;183.5;509.8;30G;3.3G;12%;
01:00:09;06/Feb/2020;25.0;948.3;185.6;507.7;30G;3.3G;12%;
01:00:09;06/Feb/2020;23.5;948.3;182.1;511.2;30G;3.3G;12%;
01:00:09;06/Feb/2020;27.9;948.3;183.4;509.9;30G;3.3G;12%;
01:00:10;06/Feb/2020;25.0;948.3;184.2;509.1;30G;3.3G;12%;
01:00:10;06/Feb/2020;26.5;948.3;184.1;509.2;30G;3.3G;12%;
01:00:10;06/Feb/2020;25.7;948.3;185.4;507.9;30G;3.3G;12%;
01:00:11;06/Feb/2020;25.7;948.3;183.5;509.8;30G;3.3G;12%;
01:00:11;06/Feb/2020;26.9;948.3;181.8;511.5;30G;3.3G;12%;
01:00:11;06/Feb/2020;27.5;948.3;182.1;511.1;30G;3.3G;12%;
01:00:11;06/Feb/2020;26.1;948.3;182.1;511.2;30G;3.3G;12%;
01:00:12;06/Feb/2020;26.5;948.3;181.9;511.4;30G;3.3G;12%;
01:00:12;06/Feb/2020;27.9;948.3;182.4;510.9;30G;3.3G;12%;
01:00:12;06/Feb/2020;27.1;948.3;183.9;509.4;30G;3.3G;12%;
01:00:13;06/Feb/2020;28.6;948.3;183.9;509.4;30G;3.3G;12%;
01:00:13;06/Feb/2020;25.7;948.3;183.9;509.4;30G;3.3G;12%;
01:00:13;06/Feb/2020;26.8;948.3;185.4;507.9;30G;3.3G;12%;
01:00:14;06/Feb/2020;26.8;948.3;182.5;510.8;30G;3.3G;12%;
01:00:14;06/Feb/2020;25.0;948.3;182.3;511.0;30G;3.3G;12%;
01:00:14;06/Feb/2020;25.0;948.3;183.8;509.4;30G;3.3G;12%;
01:00:15;06/Feb/2020;27.1;948.3;183.6;509.7;30G;3.3G;12%;
