time;date;cpu_use;ram_total;ram_used;ram_free;disk_total;disk_free;disk_perc;
20:29:30;05/Jul/2019;3.5;949.0;116.0;643.0;30G;2.0G;7%;
20:29:32;05/Jul/2019;3.7;949.0;117.0;642.0;30G;2.0G;7%;
20:29:34;05/Jul/2019;4.0;949.0;121.0;637.0;30G;2.0G;7%;
20:29:36;05/Jul/2019;4.2;949.0;122.0;637.0;30G;2.0G;7%;
20:29:38;05/Jul/2019;4.3;949.0;123.0;636.0;30G;2.0G;7%;
20:29:41;05/Jul/2019;4.5;949.0;123.0;635.0;30G;2.0G;7%;
20:29:43;05/Jul/2019;4.7;949.0;131.0;627.0;30G;2.0G;7%;
20:29:45;05/Jul/2019;4.9;949.0;135.0;624.0;30G;2.0G;7%;
20:29:47;05/Jul/2019;5.1;949.0;136.0;623.0;30G;2.0G;7%;
20:29:50;05/Jul/2019;5.3;949.0;137.0;621.0;30G;2.0G;7%;
20:29:52;05/Jul/2019;5.5;949.0;139.0;620.0;30G;2.0G;7%;
20:29:54;05/Jul/2019;5.6;949.0;139.0;620.0;30G;2.0G;7%;
20:29:56;05/Jul/2019;5.8;949.0;139.0;619.0;30G;2.0G;7%;
20:29:58;05/Jul/2019;6.0;949.0;140.0;619.0;30G;2.0G;7%;
20:30:01;05/Jul/2019;6.1;949.0;149.0;609.0;30G;2.0G;7%;
20:30:03;05/Jul/2019;6.3;949.0;152.0;606.0;30G;2.0G;7%;
20:30:05;05/Jul/2019;6.5;949.0;153.0;606.0;30G;2.0G;7%;
20:30:07;05/Jul/2019;6.6;949.0;156.0;603.0;30G;2.0G;7%;
20:30:10;05/Jul/2019;6.8;949.0;156.0;602.0;30G;2.0G;7%;
20:30:12;05/Jul/2019;6.9;949.0;157.0;602.0;30G;2.0G;7%;
20:30:14;05/Jul/2019;7.1;949.0;157.0;601.0;30G;2.0G;7%;
20:30:16;05/Jul/2019;7.2;949.0;158.0;601.0;30G;2.0G;7%;
20:30:18;05/Jul/2019;7.4;949.0;166.0;593.0;30G;2.0G;7%;
20:30:21;05/Jul/2019;7.5;949.0;171.0;588.0;30G;2.0G;7%;
20:30:23;05/Jul/2019;7.6;949.0;171.0;588.0;30G;2.0G;7%;
20:30:25;05/Jul/2019;7.8;949.0;172.0;587.0;30G;2.0G;7%;
20:30:27;05/Jul/2019;7.9;949.0;174.0;584.0;30G;2.0G;7%;
20:30:29;05/Jul/2019;8.1;949.0;174.0;584.0;30G;2.0G;7%;
20:30:32;05/Jul/2019;8.2;949.0;175.0;584.0;30G;2.0G;7%;
20:30:34;05/Jul/2019;8.3;949.0;175.0;583.0;30G;2.0G;7%;
20:30:36;05/Jul/2019;8.4;949.0;176.0;583.0;30G;2.0G;7%;
20:30:38;05/Jul/2019;8.6;949.0;185.0;573.0;30G;2.0G;7%;
20:30:41;05/Jul/2019;8.7;949.0;189.0;570.0;30G;2.0G;7%;
20:30:43;05/Jul/2019;8.8;949.0;190.0;569.0;30G;2.0G;7%;
20:30:45;05/Jul/2019;8.9;949.0;190.0;568.0;30G;2.0G;7%;
20:30:47;05/Jul/2019;9.1;949.0;192.0;567.0;30G;2.0G;7%;
20:30:49;05/Jul/2019;9.2;949.0;192.0;567.0;30G;2.0G;7%;
20:30:52;05/Jul/2019;9.3;949.0;192.0;567.0;30G;2.0G;7%;
20:30:54;05/Jul/2019;9.4;949.0;193.0;566.0;30G;2.0G;7%;
20:30:56;05/Jul/2019;9.5;949.0;193.0;565.0;30G;2.0G;7%;
20:30:58;05/Jul/2019;9.6;949.0;201.0;557.0;30G;2.0G;7%;
20:31:01;05/Jul/2019;9.7;949.0;207.0;552.0;30G;2.0G;7%;
20:31:03;05/Jul/2019;9.8;949.0;206.0;552.0;30G;2.0G;7%;
20:31:05;05/Jul/2019;10.0;949.0;206.0;552.0;30G;2.0G;7%;
20:31:07;05/Jul/2019;10.1;949.0;208.0;550.0;30G;2.0G;7%;
20:31:09;05/Jul/2019;10.2;949.0;210.0;549.0;30G;2.0G;7%;
20:31:12;05/Jul/2019;10.3;949.0;210.0;549.0;30G;2.0G;7%;
20:31:14;05/Jul/2019;10.4;949.0;210.0;548.0;30G;2.0G;7%;
20:31:16;05/Jul/2019;10.5;949.0;211.0;548.0;30G;2.0G;7%;
20:31:18;05/Jul/2019;10.6;949.0;212.0;547.0;30G;2.0G;7%;
20:31:20;05/Jul/2019;10.7;949.0;221.0;538.0;30G;2.0G;7%;
20:31:23;05/Jul/2019;10.7;949.0;225.0;534.0;30G;2.0G;7%;
20:31:25;05/Jul/2019;10.8;949.0;225.0;534.0;30G;2.0G;7%;
20:31:27;05/Jul/2019;10.7;949.0;224.0;534.0;30G;2.0G;7%;
20:31:29;05/Jul/2019;10.8;949.0;225.0;534.0;30G;2.0G;7%;
20:31:32;05/Jul/2019;10.9;949.0;225.0;533.0;30G;2.0G;7%;
20:31:34;05/Jul/2019;11.0;949.0;227.0;532.0;30G;2.0G;7%;
20:31:36;05/Jul/2019;11.1;949.0;227.0;531.0;30G;2.0G;7%;
20:31:38;05/Jul/2019;11.2;949.0;228.0;531.0;30G;2.0G;7%;
20:31:40;05/Jul/2019;11.2;949.0;228.0;531.0;30G;2.0G;7%;
20:31:43;05/Jul/2019;11.3;949.0;229.0;530.0;30G;2.0G;7%;
20:31:45;05/Jul/2019;11.4;949.0;233.0;525.0;30G;2.0G;7%;
20:31:47;05/Jul/2019;11.5;949.0;238.0;520.0;30G;2.0G;7%;
20:31:49;05/Jul/2019;11.6;949.0;241.0;517.0;30G;2.0G;7%;
20:31:52;05/Jul/2019;11.7;949.0;242.0;517.0;30G;2.0G;7%;
20:31:54;05/Jul/2019;11.7;949.0;242.0;516.0;30G;2.0G;7%;
20:31:56;05/Jul/2019;11.8;949.0;243.0;515.0;30G;2.0G;7%;
20:31:58;05/Jul/2019;11.9;949.0;245.0;514.0;30G;2.0G;7%;
20:32:00;05/Jul/2019;12.0;949.0;245.0;514.0;30G;2.0G;7%;
20:32:03;05/Jul/2019;12.1;949.0;246.0;513.0;30G;2.0G;7%;
